0,1,2,3,4,5
却,куе,чуех,чиуех,цюэ,чуе
确认,куе рен,чуех йен,чиуех ренн,цюэ жэнь,чуе рен
然而,ран ер,ян ерх,ран ерл,жань эр,ран ер
燃料,ран лиао,ян лиао,ран лиауо,жань ляо,ран лиао
燃烧,ран шао,ян шао,ран шау,жань шао,ран шао
热闹,ре нао,йе нао,рех нао,жэ нао,ре нао
热心,ре xин,йе хсин,рех шин,жэ синь,ре xин
人家,рен йиа,йен чиа,рен йиа,жэнь цзя,рен йиа
日记,ри йи,йих чи,рых йих,жи цзи,ри йи
日历,ри ли,йих ли,рых лих,жи ли,ри ли
如今,ру йин,ю чин,ру йин,жу цзинь,ру йин
弱,руо,йо,руох,жо,руо
伞,сан,сан,саан,сань,сан
散,сан,сан,санн,сань,сан
扫,сао,сао,сао,сао,сао
色,се,се,сех,сэ,се
色彩,се цаи,се цаи,сех цае,сэ цай,се цаи
森林,сен лин,сен лин,сен лин,сэнь линь,сен лин
晒,шаи,шаи,шаы,шай,шаи
闪,шан,шан,шаан,шань,шан
闪电,шан диан,шан тиен,шаан дианн,шань дянь,шан диан
善良,шан лианг,шан лианг,шанн лианг,шань лян,шан лиан
善于,шан ыу,шан ыу,шанн ыу,шань юй,шан ыу
伤害,шанг хаи,шанг хаи,шанг хаы,шан хай,шанг хаи
商务,шанг уоу,шанг уоу,шанг уоух,шан у,шанг уоу
赏,шанг,шанг,шаанг,шан,шанг
上个月,шанг ге ыуе,шанг ко ыуех,шанк гех ыуех,шан гэ юэ,шанг ге ыуе
上楼,шанг лоу,шанг лоу,шанк лоу,шан лоу,шанг лоу
上门,шанг мен,шанг мен,шанк мен,шан мэнь,шанг мен
烧,шао,шао,шау,шао,шао
设施,ше ши,ше ших,шех шы,шэ ши,ше ши
设置,ше жи,ше чих,шех йых,шэ чжи,ше чих
申请,шен кинг,шен чинг,шен чиинг,шэнь цин,шен чинг
身材,шен цаи,шен цаи,шен цаир,шэнь цай,шен цаи
身份,шен фен,шен фен,шен фенн,шэнь фэнь,шен фен
身高,шен гао,шен као,шен гау,шэнь гао,шен гао
深厚,шен хоу,шен хоу,шен хоуо,шэнь хоу,шен хоу
神话,шен хуа,шен хуа,шерн хуах,шэнь хуа,шен хуа
神秘,шен ми,шен ми,шерн мих,шэнь ми,шен ми
甚至,шен жи,шен чих,шенн йых,шэнь чжи,шен чих
失败,ши баи,ших паи,шы баы,ши бай,ши баи
失望,ши уоанг,ших уоанг,шы уоанк,ши ван,ши уоан
失业,ши ые,ших ыех,шы ыех,ши е,ши ые
诗,ши,ших,шы,ши,ши
诗人,ши рен,ших йен,шы рен,ши жэнь,ши рен
湿,ши,ших,шы,ши,ши
实施,ши ши,ших ших,шыр шы,ши ши,ши ши
实用,ши ыонг,ших ыунг,шыр ыонк,ши юн,ши ыонг
食堂,ши танг,ших танг,шыр тарнг,ши тан,ши танг
使劲,ши йинг,ших чин,шыы йинн,ши цзин,ши йинн
士兵,ши бинг,ших пинг,шых бинг,ши бин,ши бинг
市区,ши ку,ших чу,шых чиу,ши цюй,ши чу
似的,си де,ших де,шых де,сы дэ,си де
事物,ши уоу,ших уоу,шых уоух,ши у,ши уоу
事先,ши xиан,ших хсиен,шых шиан,ши сянь,ши xиан
试卷,ши юан,ших чуан,шых йиуанн,ши цзюань,ши юана
是否,ши фоу,ших фоу,шых фооу,ши фоу,ши фоу
收回,шоу хуи,шоу хуи,шоу хуоеи,шоу хуэй,шоу хуи
收获,шоу хуо,шоу хуо,шоу хуох,шоу хо,шоу хуо
收益,шоу ыи,шоу и,шоу ыих,шоу и,шоу ыи
手工,шоу гонг,шоу кунг,шооу гонг,шоу гун,шоу гонг
手里,шоу ли,шоу ли,шооу лии,шоу ли,шоу ли
手术,шоу жу,шоу шу,шооу шух,шоу чжу,шоу шу
手套,шоу тао,шоу тао,шооу тауо,шоу тао,шоу тао
守,шоу,шоу,шооу,шоу,шоу
首,шоу,шоу,шооу,шоу,шоу
售货员,шоу хуо ыуан,шоу хуо ыуан,шоуо хуох ыуан,шоу хо юань,шоу хуо ыуан
叔叔,шу шу,шу шу,шу шу,шу шу,шу шу
舒适,шу ши,шу ших,шу шых,шу ши,шу ши
熟练,шу лиан,шу лиен,шуоу лианн,шу лянь,шу лиан
暑假,шу йиа,шу чиа,шуу йиах,шу цзя,шу йиа
树林,шу лин,шу лин,шух лин,шу линь,шу лин
树叶,шу ые,шу ыех,шух ыех,шу е,шу ые
数据,шу ю,шу чу,шух йиух,шу цзюй,шу ю
数码,шу ма,шу ма,шух маа,шу ма,шу ма
刷,шуа,шуа,шуа,шуа,шуа
刷牙,шуа ыа,шуа ыа,шуа ыа,шуа я,шуа ыа
刷子,шуа зи,шуа зи,шуа зи,шуа цзы,шуа зи
帅,шуаи,шуаи,шуаы,шуай,шуаи
帅哥,шуаи ге,шуаи ко,шуаы ге,шуай гэ,шуаи ге
率先,лв xиан,шуаи хсиен,шуаы шиан,сянь,шуа xиан
睡着,шуи жао,шуи чао,шуеы яур,шуй чжао,шуи чао
顺序,шун xу,шун хсу,шуенн шиух,шунь сюй,шун xуу
说不定,шуо бу динг,шуо бу тинг,шуо бу динк,шо бу дин,шуо бу динг
说服,шуо фу,шуо фу,шуо фуоу,шо фу,шуо фу
思考,си као,ссу као,сы као,сы као,сы као
似乎,си ху,ссу ху,сых ху,сы ху,сы ху
松,сонг,сунг,сонг,сун,сонг
松树,сонг шу,сунг шу,сонг шух,сун шу,сонг шу
塑料,су лиао,су лиао,сух лиауо,су ляо,су лиао
塑料袋,су лиао даи,су лиао таи,сух лиауо даы,су ляо дай,су лиао даи
酸,суан,суан,суан,суань,суан
酸奶,суан наи,суан наи,суан нае,суань най,суан наи
随手,суи шоу,суи шоу,суоеи шооу,суй шоу,суи шоу
缩短,суо дуан,со туан,суо доан,со дуань,су дуан
缩小,суо xиао,со хсиао,суо шеау,со сяо,су xиао
台阶,таи йие,таи чиех,таир йие,тай цзе,таи йие
台上,таи шанг,таи шанг,таир шанк,тай шан,таи шанг
躺,танг,танг,таанг,тан,танг
套餐,тао цан,тао цан,тауо цан,тао цань,тао цан
特价,те йиа,те чиа,тех йиах,тэ цзя,те йиа
特殊,те шу,те шу,тех шу,тэ шу,те шу
特征,те женг,те ченг,тех йенг,тэ чжэн,те ченг
提供,ти гонг,ти кунг,тыи гонг,ти гун,ти гонг
提醒,ти xинг,ти хсинг,тыи шиинг,ти син,ти xинн
体操,ти цао,ти цао,тии цау,ти цао,ти цао
体检,ти йиан,ти чиен,тии йеан,ти цзянь,ти йиан
体重,ти жонг,ти чунг,тии йонк,ти чжун,ти чонг
替,ти,ти,тих,ти,ти
替代,ти даи,ти таи,тих даы,ти дай,ти даи
天真,тиан жен,тиен чен,тиан йен,тянь чжэнь,тиан чен
填,тиан,тиен,тыан,тянь,тиан
填空,тиан конг,тиен кунг,тыан конк,тянь кун,тиан конг
挑,тиао,тиао,тиау,тяо,тиао
挑选,тиао xуан,тиао хсуан,тиау шеуан,тяо сюань,тиао xуанн
调皮,диао пи,тиао пи,тыау пыи,дяо пи,диао пи
挑战,тиао жан,тиао чан,теау янн,тяо чжань,тиао чан
贴,тие,тиех,тие,те,тие
停下,тинг xиа,тинг хсиа,тынг шиах,тин ся,тинг xиа
挺,тинг,тинг,тиинг,тин,тинг
通知书,тонг жи шу,тунг чих шу,тонг йы шу,тун чжи шу,тонг чи шу
同情,тонг кинг,тунг чинг,торнг чынг,тун цин,тонг чинг
童话,тонг хуа,тунг хуа,торнг хуах,тун хуа,тонг хуа
童年,тонг ниан,тунг ниен,торнг ниан,тун нянь,тонг ниан
统计,тонг йи,тунг чи,тоонг йих,тун цзи,тонг йи
统一,тонг ыи,тунг и,тоонг и,тун и,тонг и
痛快,тонг куаи,тунг куаи,тонк куаы,тун куай,тонг куаи
投,тоу,тоу,тоур,тоу,тоу
投入,тоу ру,тоу ю,тоур рух,тоу жу,тоу ру
投诉,тоу су,тоу су,тоур сух,тоу су,тоу су
投资,тоу зи,тоу тзу,тоур тзы,тоу цзы,тоу тзы
透,тоу,тоу,тоуо,тоу,тоу
透明,тоу минг,тоу минг,тоуо минг,тоу мин,тоу минг
图案,ту ан,ту ан,туоу анн,ту ань,ту ан
途中,ту жонг,ту чунг,туоу йонг,ту чжун,ту чонг
土地,ту ди,ту ти,туу дих,ту ди,ту ди
推迟,туи чи,туи чих,туеи чыр,туй чи,туи чи
推销,туи xиао,туи хсиао,туеи шиау,туй сяо,туи xиао
脱,туо,то,туо,то,ту
袜子,уоа зи,уоа зи,уоах зи,ва цзы,уоа зи
外汇,уоаи хуи,уоаи хуи,уоаы хуеы,вай хуэй,уоаи хуи
外交官,уоаи йиао гуан,уоаи чиао куан,уоаы йиау гуан,вай цзяо гуань,уоаи йиао гуан
外套,уоаи тао,уоаи тао,уоаы тауо,вай тао,уоаи тао
弯,уоан,уоан,уан,вань,уоан
晚点,уоан диан,уоан тиен,уооан деан,вань дянь,уоан диан
万一,уоан ыи,уоан и,уоанн и,вань и,уоан и
王,уоанг,уоанг,уоанг,ван,уоан
网络,уоанг луо,уоанг ло,уооанг луох,ван ло,уоанг луо
网址,уоанг жи,уоанг чих,уооанг йыы,ван чжи,уоанг чи
微笑,уоеи xиао,уоеи хсиао,уеи шиауо,вэй сяо,уоеи xиао
微信,уоеи xин,уоеи хсин,уеи шинн,вэй синь,уоеи xинн
围巾,уоеи йин,уоеи чин,уоеи йин,вэй цзинь,уоеи йин
维持,уоеи чи,уоеи чих,уоеи чыр,вэй чи,уоеи чи
维护,уоеи ху,уоеи ху,уоеи хух,вэй ху,уоеи ху
维修,уоеи xиу,уоеи хсиу,уоеи шиоу,вэй сю,уоеи xиу
尾巴,уоеи ба,уоеи ба,уооеи ба,вэй ба,уоеи ба
未必,уоеи би,уоеи пи,уоеы бих,вэй би,уоеи би
未来,уоеи лаи,уоеи лаи,уоеы лаи,вэй лай,уоеи лаи
位于,уоеи ыу,уоеи ыу,уоеы ыу,вэй юй,уоеи ыу
味儿,уоеи ер,уоеи р,уоеы р,вэй эр,уоеи рр
喂,уоеи,уоеи,уоеы,вэй,уоеи
稳,уоен,уоен,уооен,вэнь,уоен
稳定,уоен динг,уоен тинг,уооен динк,вэнь дин,уоен динг
问候,уоен хоу,уоен хоу,уоенн хоуо,вэнь хоу,уоен хоу
无,уоу,уоу,уоу,у,уо
无法,уоу фа,уоу фа,уоу фаа,у фа,уо фа
无聊,уоу лиао,уоу лиао,уоу лиау,у ляо,уо лиао
无论,уоу лун,уоу лун,уоу луенн,у лунь,уо лун
无数,уоу шу,уоу шу,уоу шух,у шу,уо шу
无所谓,уоу суо уоеи,уоу со уоеи,уоу суоо уоеы,у со вэй,уо суо уоеи
无限,уоу xиан,уоу хсиен,уоу шианн,у сянь,уо xиан
五颜六色,уоу ыан лиу се,уоу ыан лиу се,уоуу ыан лиоуо сех,у янь лю сэ,уоу ыан лиу се
误会,уоу хуи,уоу хуи,уоух хуеы,у хуэй,уоу хуи
西瓜,xи гуа,хси куа,ши гуа,си гуа,xи гуа
吸,xи,хси,ши,си,xи
吸管,xи гуан,хси куан,ши гоан,си гуань,xи гуан
吸收,xи шоу,хси шоу,ши шоу,си шоу,xи шоу
吸烟,xи ыан,хси ыан,ши иан,си янь,xи ыан
吸引,xи ыин,хси ыин,ши ыиин,си инь,xи ыин
喜爱,xи аи,хси аи,шии аы,си ай,xи аи
系列,xи лие,хси лиех,ших лиех,си ле,xи лие
系统,xи тонг,хси тунг,ших тоонг,си тун,xи тонг
细,xи,хси,ших,си,xи
细节,xи йие,хси чиех,ших йые,си цзе,xи йие
细致,xи жи,хси чих,ших йых,си чжи,xи чих
下个月,xиа ге ыуе,хсиа ко ыуех,шиах гех ыуех,ся гэ юэ,xиа ге ыуе
下降,xиа йианг,хсиа чианг,шиах йианк,ся цзян,xиа йианг
下楼,xиа лоу,хсиа лоу,шиах лоу,ся лоу,xиа лоу
夏季,xиа йи,хсиа чи,шиах йих,ся цзи,xиа йи
鲜,xиан,хсиен,шиан,сянь,xиан
鲜花,xиан хуа,хсиен хуа,шиан хуа,сянь хуа,xиан хуа
鲜明,xиан минг,хсиен минг,шиан минг,сянь мин,xиан минг
咸,xиан,хсиен,шыан,сянь,xиан
显著,xиан жу,хсиен чу,шеан юх,сянь чжу,xиан чу
县,xиан,хсиен,шианн,сянь,xиан
限制,xиан жи,хсиен чих,шианн йых,сянь чжи,xиан чих
相处,xианг чу,хсианг чу,шианг чуу,сян чу,xианг чу
相反,xианг фан,хсианг фан,шианг фаан,сян фань,xианг фан
箱,xианг,хсианг,шианг,сян,xианг
箱子,xианг зи,хсианг зи,шианг зи,сян цзы,xианг зи
想念,xианг ниан,хсианг ниен,шеанг нианн,сян нянь,xианг ниан
想象,xианг xианг,хсианг хсианг,шеанг шианк,сян сян,xианг xианг
项,xианг,хсианг,шианк,сян,xианг
项目,xианг му,хсианг му,шианк мух,сян му,xианг му
相片,xианг пиан,хсианг пиен,шианк пианн,сян пянь,xианг пиан
消化,xиао хуа,хсиао хуа,шиау хуах,сяо хуа,xиао хуа
销售,xиао шоу,хсиао шоу,шиау шоуо,сяо шоу,xиао шоу
小吃,xиао чи,хсиао чих,шеау чы,сяо чи,xиао чи
小伙子,xиао хуо зи,хсиао хуо зи,шеау хуоо зи,сяо хо цзы,xиао хуо зи
小型,xиао xинг,хсиао хсинг,шеау шынг,сяо син,xиао xинг
些,xие,хсиех,шие,се,xие
心理,xин ли,хсин ли,шин лии,синь ли,xин ли
新郎,xин ланг,хсин ланг,шин ланг,синь лан,xин ланг
新娘,xин нианг,хсин нианг,шин нианг,синь нян,xин ниан
新鲜,xин xиан,хсин хсиен,шин шиан,синь сянь,xин xиан
新型,xин xинг,хсин хсинг,шин шынг,синь син,xин xинг
兴奋,xинг фен,хсинг фен,шинг фенн,син фэнь,xинг фен
形容,xинг ронг,хсинг юнг,шынг ронг,син жун,xинг ронг
形势,xинг ши,хсинг ших,шынг шых,син ши,xинг ши
型,xинг,хсинг,шынг,син,xинг
型号,xинг хао,хсинг хао,шынг хауо,син хао,xинг хао
醒,xинг,хсинг,шиинг,син,xинн
兴趣,xинг ку,хсинг чу,шинк чиух,син цюй,xинг чу
性质,xинг жи,хсинг чих,шинк йых,син чжи,xинг чих
兄弟,xионг ди,хсиунг ти,шионг дих,сюн ди,xионг ди
胸部,xионг бу,хсиунг пу,шионг бух,сюн бу,xионг бу
修理,xиу ли,хсиу ли,шиоу лии,сю ли,xиу ли
选择,xуан зе,хсуан це,шеуан тзер,сюань цзэ,xуанн це
学分,xуе фен,хсуех фен,шыуе фен,сюэ фэнь,xуу фен
学年,xуе ниан,хсуех ниен,шыуе ниан,сюэ нянь,xуу ниан
学时,xуе ши,хсуех ших,шыуе шыр,сюэ ши,xуу ши
学术,xуе жу,хсуех шу,шыуе шух,сюэ чжу,xуу шу
寻找,xун жао,хсун чао,шыун яо,сюнь чжао,xунн чао
迅速,xун су,хсун су,шиунн сух,сюнь су,xунн су
牙,ыа,ыа,ыа,я,ыа
牙刷,ыа шуа,ыа шуа,ыа шуа,я шуа,ыа шуа
亚运会,ыа ыун хуи,ыа ыун хуи,ыах ыунн хуеы,я юнь хуэй,ыа ыун хуи
呀,ыа,ыа,ыа,я,ыа
延长,ыан чанг,ыан чанг,ыан чарнг,янь чан,ыан чанг
延期,ыан ки,ыан чи,ыан чи,янь ци,ыан чи
延续,ыан xу,ыан хсу,ыан шиух,янь сюй,ыан xуу
严,ыан,ыан,ыан,янь,ыан
严格,ыан ге,ыан ко,ыан гер,янь гэ,ыан ге
严重,ыан жонг,ыан чунг,ыан йонк,янь чжун,ыан чонг
研究,ыан йиу,ыан чиу,ыан йиоу,янь цзю,ыан йиу
研究生,ыан йиу шенг,ыан чиу шенг,ыан йиоу шенг,янь цзю шэн,ыан йиу шенг
研制,ыан жи,ыан чих,ыан йых,янь чжи,ыан чих
盐,ыан,ыан,ыан,янь,ыан
眼镜,ыан йинг,ыан чинг,ыеан йинк,янь цзин,ыан йинг
眼泪,ыан леи,ыан леи,ыеан леы,янь лэй,ыан леи
演讲,ыан йианг,ыан чианг,ыеан йеанг,янь цзян,ыан йианг
阳台,ыанг таи,ыанг таи,ыанг таир,ян тай,ыанг таи
养成,ыанг ченг,ыанг ченг,ыеанг чернг,ян чэн,ыанг ченг
腰,ыао,ыао,иау,яо,ыао
摇,ыао,ыао,ыау,яо,ыао
药物,ыао уоу,ыао уоу,ыауо уоух,яо у,ыао уоу
要,ыао,ыао,ыауо,яо,ыао
业余,ые ыу,ыех ыу,ыех ыу,е юй,ые ыу
叶子,ые зи,ыех зи,ыех зи,е цзы,ые зи
医疗,ыи лиао,и лиао,и лиау,и ляо,и лиао
医学,ыи xуе,и хсуех,и шыуе,и сюэ,и xуу
依靠,ыи као,и као,и кауо,и као,и као
依然,ыи ран,и ян,и ран,и жань,и ран
移,ыи,и,ыи,и,ыи
移动,ыи донг,и тунг,ыи донк,и дун,ыи донг
移民,ыи мин,и мин,ыи мин,и минь,ыи мин
遗产,ыи чан,и чан,ыи чаан,и чань,ыи чан
遗传,ыи чуан,и чуан,ыи чуоан,и чуань,ыи чуан
疑问,ыи уоен,и уоен,ыи уоенн,и вэнь,ыи уоен
以及,ыи йи,и чи,ыии йыи,и цзи,ыи йи
以内,ыи неи,и неи,ыии неы,и нэй,ыи неи
义务,ыи уоу,и уоу,ыих уоух,и у,ыи уоу
议论,ыи лун,и лун,ыих луенн,и лунь,ыи лун
引,ыин,ыин,ыиин,инь,ыин
引导,ыин дао,ыин тао,ыиин дао,инь дао,ыин дао
引进,ыин йин,ыин чин,ыиин йинн,инь цзинь,ыин йин
引起,ыин ки,ыин чи,ыиин чии,инь ци,ыин чи
应,ыинг,ыинг,инг,ин,ыин
英勇,ыинг ыонг,ыинг ыунг,инг ыеонг,ин юн,ыин ыонг
营业,ыинг ые,ыинг ыех,ынг ыех,ин е,ыин ые
赢得,ыинг де,ыинг те,ынг дер,ин дэ,ыин де
影子,ыинг зи,ыинг зи,ыиинг зи,ин цзы,ыинг зи
勇敢,ыонг ган,ыунг кан,ыеонг гаан,юн гань,ыонг ган
勇气,ыонг ки,ыунг чи,ыеонг чих,юн ци,ыонг чи
用途,ыонг ту,ыунг ту,ыонк туоу,юн ту,ыонг ту
优良,ыоу лианг,ыу лианг,иоу лианг,ю лян,ыо лиан
优美,ыоу меи,ыу меи,иоу мееи,ю мэй,ыо меи
优秀,ыоу xиу,ыу хсиу,иоу шиоуо,ю сю,ыо xиу
邮局,ыоу ю,ыу чу,ыоу йыу,ю цзюй,ыо ю
有趣,ыоу ку,ыу чу,ыеоу чиух,ю цюй,ыо чу
有限,ыоу xиан,ыу хсиен,ыеоу шианн,ю сянь,ыо xиан
幼儿园,ыоу ер ыуан,ыу ерх ыуан,ыоуо ерл ыуан,ю эр юань,ыо ер ыуан
于是,ыу ши,ыу ших,ыу шых,юй ши,ыу ши
语法,ыу фа,ыу фа,ыеу фаа,юй фа,ыу фа
语音,ыу ыин,ыу ыин,ыеу ин,юй инь,ыу ыин
玉,ыу,ыу,ыух,юй,ыу
玉米,ыу ми,ыу ми,ыух мии,юй ми,ыу ми
预测,ыу це,ыу це,ыух цех,юй цэ,ыу це
预订,ыу динг,ыу тинг,ыух динк,юй дин,ыу динг
遇,ыу,ыу,ыух,юй,ыу
遇到,ыу дао,ыу тао,ыух дауо,юй дао,ыу дао
遇见,ыу йиан,ыу чиен,ыух йианн,юй цзянь,ыу йиан
原料,ыуан лиао,ыуан лиао,ыуан лиауо,юань ляо,ыуан лиао
原则,ыуан зе,ыуан це,ыуан тзер,юань цзэ,ыуан це
圆,ыуан,ыуан,ыуан,юань,ыуан
圆满,ыуан ман,ыуан ман,ыуан маан,юань мань,ыуан ман
约会,ыуе хуи,ыуех хуи,иуе хуеы,юэ хуэй,ыуе хуи
月底,ыуе ди,ыуех ти,ыуех дии,юэ ди,ыуе ди
阅读,ыуе ду,ыуех ту,ыуех дуоу,юэ ду,ыуе ду
运动会,ыун донг хуи,ыун тунг хуи,ыунн донк хуеы,юнь дун хуэй,ыун донг хуи
运动员,ыун донг ыуан,ыун тунг ыуан,ыунн донк ыуан,юнь дун юань,ыун донг ыуан
运气,ыун ки,ыун ки,ыунн ки,юнь ци,ыун ки
运用,ыун ыонг,ыун ыунг,ыунн ыонк,юнь юн,ыун ыонг
再三,заи сан,цаи сан,тзаы сан,цзай сань,цаи сан
在乎,заи ху,цаи ху,тзаы ху,цзай ху,цаи ху
在于,заи ыу,цаи ыу,тзаы ыу,цзай юй,цаи ыу
赞成,зан ченг,цан ченг,тзанн чернг,цзань чэн,цан ченг
赞赏,зан шанг,цан шанг,тзанн шаанг,цзань шан,цан шанг
赞助,зан жу,цан чу,тзанн юх,цзань чжу,цан чу
造型,зао xинг,цао хсинг,тзауо шынг,цзао син,цао xинг
战斗,жан доу,чан тоу,янн доуо,чжань доу,чан доу
战胜,жан шенг,чан шенг,янн шенк,чжань шэн,чан шенг
战士,жан ши,чан ших,янн шых,чжань ши,чан ши
战争,жан женг,чан ченг,янн йенг,чжань чжэн,чан ченг
丈夫,жанг фу,чанг фу,янк фу,чжан фу,чанг фу
招呼,жао ху,чао ху,яу ху,чжао ху,чао ху
着火,жао хуо,чао хуо,яур хуоо,чжао хо,чао хуо
着急,жао йи,чао чи,яур йыи,чжао цзи,чао йи
召开,жао каи,чао каи,яуо каи,чжао кай,чао каи
针,жен,чен,йен,чжэнь,чен
针对,жен дуи,чен туи,йен дуеы,чжэнь дуй,чен дуи
阵,жен,чен,йенн,чжэнь,чен
争论,женг лун,ченг лун,йенг луенн,чжэн лунь,ченг лун
征服,женг фу,ченг фу,йенг фуоу,чжэн фу,ченг фу
征求,женг киу,ченг чиу,йенг чыоу,чжэн цю,ченг чиу
政府,женг фу,ченг фу,йенк фуу,чжэн фу,ченг фу
政治,женг жи,ченг чих,йенк йых,чжэн чжи,ченг чих
之后,жи хоу,чих хоу,йы хоуо,чжи хоу,чи хоу
之间,жи йиан,чих чиен,йы йиан,чжи цзянь,чи йиан
之前,жи киан,чих чиен,йы чыан,чжи цянь,чи чиан
之一,жи ыи,чих и,йы и,чжи и,чи и
支,жи,чих,йы,чжи,чи
植物,жи уоу,чих уоу,йыр уоух,чжи у,чи уоу
指挥,жи хуи,чих хуи,йыы хуеи,чжи хуэй,чи хуи
制订,жи динг,чих тинг,йых динк,чжи дин,чих динг
质量,жи лианг,чих лианг,йых лианк,чжи лян,чих лиан
治,жи,чих,йых,чжи,чих
治疗,жи лиао,чих лиао,йых лиау,чжи ляо,чих лиао
智力,жи ли,чих ли,йых лих,чжи ли,чих ли
智能,жи ненг,чих ненг,йых ненг,чжи нэн,чих ненг
中介,жонг йие,чунг чиех,йонг йиех,чжун цзе,чонг йие
种类,жонг леи,чунг леи,йоонг леы,чжун лэй,чонг леи
中奖,жонг йианг,чунг чианг,йонк йеанг,чжун цзян,чонг йианг
种,жонг,чунг,йоонг,чжун,чонг
种植,жонг жи,чунг чих,йонк йыр,чжун чжи,чонг чи
重量,жонг лианг,чунг лианг,йонк лианк,чжун лян,чонг лиан
逐步,жу бу,чу пу,йуоу бух,чжу бу,чу бу
逐渐,жу йиан,чу чиен,йуоу йианн,чжу цзянь,чу йиан
主题,жу ти,чу ти,юу тыи,чжу ти,чу ти
主席,жу xи,чу хси,юу шыи,чжу си,чу xи
祝福,жу фу,чу фу,юх фуоу,чжу фу,чу фу
著名,жу минг,чу минг,юх минг,чжу мин,чу минг
著作,жу зуо,чу цо,юх тзуох,чжу цзо,чу цзо
抓紧,жуа йин,чуа чин,юа йиин,чжуа цзинь,чуа йин
专心,жуан xин,чуан хсин,юан шин,чжуань синь,чуан xин
转动,жуан донг,чуан тунг,йоан донк,чжуань дун,чуан донг
转告,жуан гао,чуан као,йоан гауо,чжуань гао,чуан гао
转身,жуан шен,чуан шен,йоан шен,чжуань шэнь,чуан шен
转弯,жуан уоан,чуан уоан,йоан уан,чжуань вань,чуан уоан
转移,жуан ыи,чуан и,йоан ыи,чжуань и,чуан ыи
装修,жуанг xиу,чуанг хсиу,юанг шиоу,чжуан сю,чуанг xиу
装置,жуанг жи,чуанг чих,юанг йых,чжуан чжи,чуанг чих
追求,жуи киу,чуи чиу,юеи чыоу,чжуй цю,чуи чиу
准时,жун ши,чун ших,йоен шыр,чжунь ши,чун ши
资料,зи лиао,тзу лиао,тзы лиауо,цзы ляо,тзы лиао
资源,зи ыуан,тзу ыуан,тзы ыуан,цзы юань,тзы ыуан
自,зи,тзу,тзых,цзы,тзы
自信,зи xин,тзу хсин,тзых шинн,цзы синь,тзы xинн
字母,зи му,тзу му,тзых муу,цзы му,тзы му
综合,зонг хе,цунг хо,тзонг хер,цзун хэ,цзнг хе
总共,зонг гонг,цунг кунг,тзоонг гонк,цзун гун,цзнг гонг
总理,зонг ли,цунг ли,тзоонг лии,цзун ли,цзнг ли
总统,зонг тонг,цунг тунг,тзоонг тоонг,цзун тун,цзнг тонг
总之,зонг жи,цунг чих,тзоонг йы,цзун чжи,цзнг чи
阻止,зу жи,цу чих,тзуу йыы,цзу чжи,цу чи
嘴巴,зуи ба,цуи ба,тзоеи ба,цзуй ба,цуи ба
最初,зуи чу,цуи чу,тзуеы чу,цзуй чу,цуи чу
作出,зуо чу,цо чу,тзуох чу,цзо чу,цзо чу
作为,зуо уоеи,цо уоеи,тзуох уоеи,цзо вэй,цзо уоеи
安慰,ан уоеи,ан уоеи,ан уоеы,ань вэй,ан уоеи
岸,ан,ан,анн,ань,ан
岸上,ан шанг,ан шанг,анн шанк,ань шан,ан шанг
按摩,ан мо,ан мо,анн мо,ань мо,ан мо
拔,ба,па,бар,ба,ба
白酒,баи йиу,паи чиу,баир йеоу,бай цзю,баи йиу
拜访,баи фанг,паи фанг,баы фаанг,бай фан,баи фанг
版,бан,пан,баан,бань,бан
扮演,бан ыан,пан ыан,банн ыеан,бань янь,бан ыан
棒,банг,панг,банк,бан,банг
包围,бао уоеи,пао уоеи,бау уоеи,бао вэй,бао уоеи
包装,бао жуанг,пао чуанг,бау юанг,бао чжуан,бао чуанг
保卫,бао уоеи,пао уоеи,бао уоеы,бао вэй,бао уоеи
保养,бао ыанг,пао ыанг,бао ыеанг,бао ян,бао ыанг
报答,бао да,пао та,бауо дар,бао да,бао да
报警,бао йинг,пао чинг,бауо йиинг,бао цзин,бао йинг
抱怨,бао ыуан,пао ыуан,бауо ыуанн,бао юань,бао ыуан
背包,беи бао,пеи пао,беи бау,бэй бао,беи бао
悲剧,беи ю,пеи чу,беи йиух,бэй цзюй,беи ю
悲伤,беи шанг,пеи шанг,беи шанг,бэй шан,беи шанг
北极,беи йи,пеи чи,бееи йыи,бэй цзи,беи йи
被动,беи донг,пеи тунг,беы донк,бэй дун,беи донг
辈,беи,пеи,беы,бэй,беи
本人,бен рен,пен йен,беен рен,бэнь жэнь,бен рен
鼻子,би зи,пи зи,быи зи,би цзы,би зи
比重,би жонг,пи чунг,бии йонк,би чжун,би чонг
彼此,би ци,пи тзу,бии цыы,би цы,би цы
必,би,пи,бих,би,би
必需,би xу,пи хсу,бих шиу,би сюй,би xуу
毕竟,би йинг,пи чинг,бих йинк,би цзин,би йинг
闭幕,би му,пи му,бих мух,би му,би му
闭幕式,би му ши,пи му ших,бих мух шых,би му ши,би му ши
边境,биан йинг,пиен чинг,биан йинк,бянь цзин,биан йинг
编辑,биан йи,пиен чи,биан йыи,бянь цзи,биан йи
变动,биан донг,пиен тунг,бианн донк,бянь дун,биан донг
便利,биан ли,пиен ли,бианн лих,бянь ли,биан ли
便条,биан тиао,пиен тиао,бианн тыау,бянь тяо,биан тиао
