Chinese,Pinyin,Wade-Giles,Romatzyh,Palladiy
期中,qi zhong,ch'i¹ chung¹,chi jong,ци чжун
其余,qi yu,ch'i² yü²,chyi yu,ци юй
企业,qi ye,ch'i³ yeh⁴,chii yeh,ци е
气球,qi qiu,ch'i⁴ ch'iu²,chih chyou,ци цю
汽水,qi shui,ch'i⁴ shui³,chih shoei,ци шуй
汽油,qi you,ch'i⁴ yu²,chih you,ци ю
器官,qi guan,ch'i⁴ kuan¹,chih guan,ци гуань
前头,qian tou,ch'ien² tou,chyan tou,цянь тоу
前途,qian tu,ch'ien² t'u²,chyan twu,цянь ту
巧克力,qiao ke li,ch'iao³ k'o⁴ li⁴,cheau keh lih,цяо кэ ли
切,qie,ch'ieh¹,chie,це
亲爱,qin ai,ch'in¹ ai⁴,chin ay,цинь ай
亲密,qin mi,ch'in¹ mi⁴,chin mih,цинь ми
青春,qing chun,ch'ing¹ ch'un¹,ching chuen,цин чунь
轻松,qing song,ch'ing¹ sung¹,ching song,цин сун
轻易,qing yi,ch'ing¹ i⁴,ching yih,цин и
清醒,qing xing,ch'ing¹ hsing³,ching shiing,цин син
情景,qing jing,ch'ing² ching³,chyng jiing,цин цзин
穷,qiong,ch'iung²,chyong,цюн
穷人,qiong ren,ch'iung² jen²,chyong ren,цюн жэнь
秋季,qiu ji,ch'iu¹ chi⁴,chiou jih,цю цзи
趋势,qu shi,ch'ü¹ shih⁴,chiu shyh,цюй ши
权利,quan li,ch'üan² li⁴,chyuan lih,цюань ли
却,que,ch'üeh⁴,chiueh,цюэ
确认,que ren,ch'üeh⁴ jen⁴,chiueh renn,цюэ жэнь
然而,ran er,jan² erh²,ran erl,жань эр
燃料,ran liao,jan² liao⁴,ran liaw,жань ляо
燃烧,ran shao,jan² shao¹,ran shau,жань шао
热闹,re nao,je⁴ nao,reh nao,жэ нао
热心,re xin,je⁴ hsin¹,reh shin,жэ синь
人家,ren jia,jen² chia¹,ren jia,жэнь цзя
日记,ri ji,jih⁴ chi⁴,ryh jih,жи цзи
日历,ri li,jih⁴ li⁴,ryh lih,жи ли
如今,ru jin,ju² chin¹,ru jin,жу цзинь
弱,ruo,jo⁴,ruoh,жо
伞,san,san³,saan,сань
散,san,san⁴,sann,сань
扫,sao,sao³,sao,сао
色,se,se⁴,seh,сэ
色彩,se cai,se⁴ ts'ai³,seh tsae,сэ цай
森林,sen lin,sen¹ lin²,sen lin,сэнь линь
晒,shai,shai⁴,shay,шай
闪,shan,shan³,shaan,шань
闪电,shan dian,shan³ tien⁴,shaan diann,шань дянь
善良,shan liang,shan⁴ liang²,shann liang,шань лян
善于,shan yu,shan⁴ yü²,shann yu,шань юй
伤害,shang hai,shang¹ hai⁴,shang hay,шан хай
商务,shang wu,shang¹ wu⁴,shang wuh,шан у
赏,shang,shang³,shaang,шан
上个月,shang ge yue,shang⁴ ko⁴ yüeh⁴,shanq geh yueh,шан гэ юэ
上楼,shang lou,shang⁴ lou²,shanq lou,шан лоу
上门,shang men,shang⁴ men²,shanq men,шан мэнь
烧,shao,shao¹,shau,шао
设施,she shi,she⁴ shih¹,sheh shy,шэ ши
设置,she zhi,she⁴ chih⁴,sheh jyh,шэ чжи
申请,shen qing,shen¹ ch'ing³,shen chiing,шэнь цин
身材,shen cai,shen¹ ts'ai²,shen tsair,шэнь цай
身份,shen fen,shen¹ fen⁴,shen fenn,шэнь фэнь
身高,shen gao,shen¹ kao¹,shen gau,шэнь гао
深厚,shen hou,shen¹ hou⁴,shen how,шэнь хоу
神话,shen hua,shen² hua⁴,shern huah,шэнь хуа
神秘,shen mi,shen² mi⁴,shern mih,шэнь ми
甚至,shen zhi,shen⁴ chih⁴,shenn jyh,шэнь чжи
失败,shi bai,shih¹ pai⁴,shy bay,ши бай
失望,shi wang,shih¹ wang⁴,shy wanq,ши ван
失业,shi ye,shih¹ yeh⁴,shy yeh,ши е
诗,shi,shih¹,shy,ши
诗人,shi ren,shih¹ jen²,shy ren,ши жэнь
湿,shi,shih¹,shy,ши
实施,shi shi,shih² shih¹,shyr shy,ши ши
实用,shi yong,shih² yung⁴,shyr yonq,ши юн
食堂,shi tang,shih² t'ang²,shyr tarng,ши тан
使劲,shi jing,shih³ chin⁴,shyy jinn,ши цзин
士兵,shi bing,shih⁴ ping¹,shyh bing,ши бин
市区,shi qu,shih⁴ ch'ü¹,shyh chiu,ши цюй
似的,si de,shih⁴ de,shyh de,сы дэ
事物,shi wu,shih⁴ wu⁴,shyh wuh,ши у
事先,shi xian,shih⁴ hsien¹,shyh shian,ши сянь
试卷,shi juan,shih⁴ chüan⁴,shyh jiuann,ши цзюань
是否,shi fou,shih⁴ fou³,shyh foou,ши фоу
收回,shou hui,shou¹ hui²,shou hwei,шоу хуэй
收获,shou huo,shou¹ huo⁴,shou huoh,шоу хо
收益,shou yi,shou¹ i⁴,shou yih,шоу и
手工,shou gong,shou³ kung¹,shoou gong,шоу гун
手里,shou li,shou³ li³,shoou lii,шоу ли
手术,shou zhu,shou³ shu⁴,shoou shuh,шоу чжу
手套,shou tao,shou³ t'ao⁴,shoou taw,шоу тао
守,shou,shou³,shoou,шоу
首,shou,shou³,shoou,шоу
售货员,shou huo yuan,shou⁴ huo⁴ yüan²,show huoh yuan,шоу хо юань
叔叔,shu shu,shu¹ shu,shu shu,шу шу
舒适,shu shi,shu¹ shih⁴,shu shyh,шу ши
熟练,shu lian,shu² lien⁴,shwu liann,шу лянь
暑假,shu jia,shu³ chia⁴,shuu jiah,шу цзя
树林,shu lin,shu⁴ lin²,shuh lin,шу линь
树叶,shu ye,shu⁴ yeh⁴,shuh yeh,шу е
数据,shu ju,shu⁴ chü⁴,shuh jiuh,шу цзюй
数码,shu ma,shu⁴ ma³,shuh maa,шу ма
刷,shua,shua¹,shua,шуа
刷牙,shua ya,shua¹ ya²,shua ya,шуа я
刷子,shua zi,shua¹ zi,shua zi,шуа цзы
帅,shuai,shuai⁴,shuay,шуай
帅哥,shuai ge,shuai⁴ ko¹,shuay ge,шуай гэ
率先,lv xian,shuai⁴ hsien¹,shuay shian,сянь
睡着,shui zhao,shui⁴ chao²,shuey jaur,шуй чжао
顺序,shun xu,shun⁴ hsü⁴,shuenn shiuh,шунь сюй
说不定,shuo bu ding,shuo¹ bu ting⁴,shuo bu dinq,шо бу дин
说服,shuo fu,shuo¹ fu²,shuo fwu,шо фу
思考,si kao,ssu¹ k'ao³,sy kao,сы као
似乎,si hu,ssu⁴ hu¹,syh hu,сы ху
松,song,sung¹,song,сун
松树,song shu,sung¹ shu⁴,song shuh,сун шу
塑料,su liao,su⁴ liao⁴,suh liaw,су ляо
塑料袋,su liao dai,su⁴ liao⁴ tai⁴,suh liaw day,су ляо дай
酸,suan,suan¹,suan,суань
酸奶,suan nai,suan¹ nai³,suan nae,суань най
随手,sui shou,sui² shou³,swei shoou,суй шоу
缩短,suo duan,so¹ tuan³,suo doan,со дуань
缩小,suo xiao,so¹ hsiao³,suo sheau,со сяо
台阶,tai jie,t'ai² chieh¹,tair jie,тай цзе
台上,tai shang,t'ai² shang⁴,tair shanq,тай шан
躺,tang,t'ang³,taang,тан
套餐,tao can,t'ao⁴ ts'an¹,taw tsan,тао цань
特价,te jia,t'e⁴ chia⁴,teh jiah,тэ цзя
特殊,te shu,t'e⁴ shu¹,teh shu,тэ шу
特征,te zheng,t'e⁴ cheng¹,teh jeng,тэ чжэн
提供,ti gong,t'i² kung¹,tyi gong,ти гун
提醒,ti xing,t'i² hsing³,tyi shiing,ти син
体操,ti cao,t'i³ ts'ao¹,tii tsau,ти цао
体检,ti jian,t'i³ chien³,tii jean,ти цзянь
体重,ti zhong,t'i³ chung⁴,tii jonq,ти чжун
替,ti,t'i⁴,tih,ти
替代,ti dai,t'i⁴ tai⁴,tih day,ти дай
天真,tian zhen,t'ien¹ chen¹,tian jen,тянь чжэнь
填,tian,t'ien²,tyan,тянь
填空,tian kong,t'ien² k'ung⁴,tyan konq,тянь кун
挑,tiao,t'iao¹,tiau,тяо
挑选,tiao xuan,t'iao¹ hsüan³,tiau sheuan,тяо сюань
调皮,diao pi,t'iao² p'i²,tyau pyi,дяо пи
挑战,tiao zhan,t'iao³ chan⁴,teau jann,тяо чжань
贴,tie,t'ieh¹,tie,те
停下,ting xia,t'ing² hsia⁴,tyng shiah,тин ся
挺,ting,t'ing³,tiing,тин
通知书,tong zhi shu,t'ung¹ chih¹ shu¹,tong jy shu,тун чжи шу
同情,tong qing,t'ung² ch'ing²,torng chyng,тун цин
童话,tong hua,t'ung² hua⁴,torng huah,тун хуа
童年,tong nian,t'ung² nien²,torng nian,тун нянь
统计,tong ji,t'ung³ chi⁴,toong jih,тун цзи
统一,tong yi,t'ung³ i¹,toong i,тун и
痛快,tong kuai,t'ung⁴ k'uai⁴,tonq kuay,тун куай
投,tou,t'ou²,tour,тоу
投入,tou ru,t'ou² ju⁴,tour ruh,тоу жу
投诉,tou su,t'ou² su⁴,tour suh,тоу су
投资,tou zi,t'ou² tzu¹,tour tzy,тоу цзы
透,tou,t'ou⁴,tow,тоу
透明,tou ming,t'ou⁴ ming²,tow ming,тоу мин
图案,tu an,t'u² an⁴,twu ann,ту ань
途中,tu zhong,t'u² chung¹,twu jong,ту чжун
土地,tu di,t'u³ ti⁴,tuu dih,ту ди
推迟,tui chi,t'ui¹ ch'ih²,tuei chyr,туй чи
推销,tui xiao,t'ui¹ hsiao¹,tuei shiau,туй сяо
脱,tuo,t'o¹,tuo,то
袜子,wa zi,wa⁴ zi,wah zi,ва цзы
外汇,wai hui,wai⁴ hui⁴,way huey,вай хуэй
外交官,wai jiao guan,wai⁴ chiao¹ kuan¹,way jiau guan,вай цзяо гуань
外套,wai tao,wai⁴ t'ao⁴,way taw,вай тао
弯,wan,wan¹,uan,вань
晚点,wan dian,wan³ tien³,woan dean,вань дянь
万一,wan yi,wan⁴ i¹,wann i,вань и
王,wang,wang²,wang,ван
网络,wang luo,wang³ lo⁴,woang luoh,ван ло
网址,wang zhi,wang³ chih³,woang jyy,ван чжи
微笑,wei xiao,wei¹ hsiao⁴,uei shiaw,вэй сяо
微信,wei xin,wei¹ hsin⁴,uei shinn,вэй синь
围巾,wei jin,wei² chin¹,wei jin,вэй цзинь
维持,wei chi,wei² ch'ih²,wei chyr,вэй чи
维护,wei hu,wei² hu⁴,wei huh,вэй ху
维修,wei xiu,wei² hsiu¹,wei shiou,вэй сю
尾巴,wei ba,wei³ ba,woei ba,вэй ба
未必,wei bi,wei⁴ pi⁴,wey bih,вэй би
未来,wei lai,wei⁴ lai²,wey lai,вэй лай
位于,wei yu,wei⁴ yü²,wey yu,вэй юй
味儿,wei er,wei⁴ r,wey r,вэй эр
喂,wei,wei⁴,wey,вэй
稳,wen,wen³,woen,вэнь
稳定,wen ding,wen³ ting⁴,woen dinq,вэнь дин
问候,wen hou,wen⁴ hou⁴,wenn how,вэнь хоу
无,wu,wu²,wu,у
无法,wu fa,wu² fa³,wu faa,у фа
无聊,wu liao,wu² liao²,wu liau,у ляо
无论,wu lun,wu² lun⁴,wu luenn,у лунь
无数,wu shu,wu² shu⁴,wu shuh,у шу
无所谓,wu suo wei,wu² so³ wei⁴,wu suoo wey,у со вэй
无限,wu xian,wu² hsien⁴,wu shiann,у сянь
五颜六色,wu yan liu se,wu³ yan² liu⁴ se⁴,wuu yan liow seh,у янь лю сэ
误会,wu hui,wu⁴ hui⁴,wuh huey,у хуэй
西瓜,xi gua,hsi¹ kua¹,shi gua,си гуа
吸,xi,hsi¹,shi,си
吸管,xi guan,hsi¹ kuan³,shi goan,си гуань
吸收,xi shou,hsi¹ shou¹,shi shou,си шоу
吸烟,xi yan,hsi¹ yan¹,shi ian,си янь
吸引,xi yin,hsi¹ yin³,shi yiin,си инь
喜爱,xi ai,hsi³ ai⁴,shii ay,си ай
系列,xi lie,hsi⁴ lieh⁴,shih lieh,си ле
系统,xi tong,hsi⁴ t'ung³,shih toong,си тун
细,xi,hsi⁴,shih,си
细节,xi jie,hsi⁴ chieh²,shih jye,си цзе
细致,xi zhi,hsi⁴ chih⁴,shih jyh,си чжи
下个月,xia ge yue,hsia⁴ ko⁴ yüeh⁴,shiah geh yueh,ся гэ юэ
下降,xia jiang,hsia⁴ chiang⁴,shiah jianq,ся цзян
下楼,xia lou,hsia⁴ lou²,shiah lou,ся лоу
夏季,xia ji,hsia⁴ chi⁴,shiah jih,ся цзи
鲜,xian,hsien¹,shian,сянь
鲜花,xian hua,hsien¹ hua¹,shian hua,сянь хуа
鲜明,xian ming,hsien¹ ming²,shian ming,сянь мин
咸,xian,hsien²,shyan,сянь
显著,xian zhu,hsien³ chu⁴,shean juh,сянь чжу
县,xian,hsien⁴,shiann,сянь
限制,xian zhi,hsien⁴ chih⁴,shiann jyh,сянь чжи
相处,xiang chu,hsiang¹ ch'u³,shiang chuu,сян чу
相反,xiang fan,hsiang¹ fan³,shiang faan,сян фань
箱,xiang,hsiang¹,shiang,сян
箱子,xiang zi,hsiang¹ zi,shiang zi,сян цзы
想念,xiang nian,hsiang³ nien⁴,sheang niann,сян нянь
想象,xiang xiang,hsiang³ hsiang⁴,sheang shianq,сян сян
项,xiang,hsiang⁴,shianq,сян
项目,xiang mu,hsiang⁴ mu⁴,shianq muh,сян му
相片,xiang pian,hsiang⁴ p'ien⁴,shianq piann,сян пянь
消化,xiao hua,hsiao¹ hua⁴,shiau huah,сяо хуа
销售,xiao shou,hsiao¹ shou⁴,shiau show,сяо шоу
小吃,xiao chi,hsiao³ ch'ih¹,sheau chy,сяо чи
小伙子,xiao huo zi,hsiao³ huo³ zi,sheau huoo zi,сяо хо цзы
小型,xiao xing,hsiao³ hsing²,sheau shyng,сяо син
些,xie,hsieh¹,shie,се
心理,xin li,hsin¹ li³,shin lii,синь ли
新郎,xin lang,hsin¹ lang²,shin lang,синь лан
新娘,xin niang,hsin¹ niang²,shin niang,синь нян
新鲜,xin xian,hsin¹ hsien¹,shin shian,синь сянь
新型,xin xing,hsin¹ hsing²,shin shyng,синь син
兴奋,xing fen,hsing¹ fen⁴,shing fenn,син фэнь
形容,xing rong,hsing² jung²,shyng rong,син жун
形势,xing shi,hsing² shih⁴,shyng shyh,син ши
型,xing,hsing²,shyng,син
型号,xing hao,hsing² hao⁴,shyng haw,син хао
醒,xing,hsing³,shiing,син
兴趣,xing qu,hsing⁴ ch'ü⁴,shinq chiuh,син цюй
性质,xing zhi,hsing⁴ chih⁴,shinq jyh,син чжи
兄弟,xiong di,hsiung¹ ti⁴,shiong dih,сюн ди
胸部,xiong bu,hsiung¹ pu⁴,shiong buh,сюн бу
修理,xiu li,hsiu¹ li³,shiou lii,сю ли
选择,xuan ze,hsüan³ tse²,sheuan tzer,сюань цзэ
学分,xue fen,hsüeh² fen¹,shyue fen,сюэ фэнь
学年,xue nian,hsüeh² nien²,shyue nian,сюэ нянь
学时,xue shi,hsüeh² shih²,shyue shyr,сюэ ши
学术,xue zhu,hsüeh² shu⁴,shyue shuh,сюэ чжу
寻找,xun zhao,hsün² chao³,shyun jao,сюнь чжао
迅速,xun su,hsün⁴ su⁴,shiunn suh,сюнь су
牙,ya,ya²,ya,я
牙刷,ya shua,ya² shua¹,ya shua,я шуа
亚运会,ya yun hui,ya⁴ yün⁴ hui⁴,yah yunn huey,я юнь хуэй
呀,ya,ya,ya,я
延长,yan chang,yan² ch'ang²,yan charng,янь чан
延期,yan qi,yan² ch'i¹,yan chi,янь ци
延续,yan xu,yan² hsü⁴,yan shiuh,янь сюй
严,yan,yan²,yan,янь
严格,yan ge,yan² ko²,yan ger,янь гэ
严重,yan zhong,yan² chung⁴,yan jonq,янь чжун
研究,yan jiu,yan² chiu¹,yan jiou,янь цзю
研究生,yan jiu sheng,yan² chiu¹ sheng¹,yan jiou sheng,янь цзю шэн
研制,yan zhi,yan² chih⁴,yan jyh,янь чжи
盐,yan,yan²,yan,янь
眼镜,yan jing,yan³ ching⁴,yean jinq,янь цзин
眼泪,yan lei,yan³ lei⁴,yean ley,янь лэй
演讲,yan jiang,yan³ chiang³,yean jeang,янь цзян
阳台,yang tai,yang² t'ai²,yang tair,ян тай
养成,yang cheng,yang³ ch'eng²,yeang cherng,ян чэн
腰,yao,yao¹,iau,яо
摇,yao,yao²,yau,яо
药物,yao wu,yao⁴ wu⁴,yaw wuh,яо у
要,yao,yao⁴,yaw,яо
业余,ye yu,yeh⁴ yü²,yeh yu,е юй
叶子,ye zi,yeh⁴ zi,yeh zi,е цзы
医疗,yi liao,i¹ liao²,i liau,и ляо
医学,yi xue,i¹ hsüeh²,i shyue,и сюэ
依靠,yi kao,i¹ k'ao⁴,i kaw,и као
依然,yi ran,i¹ jan²,i ran,и жань
移,yi,i²,yi,и
移动,yi dong,i² tung⁴,yi donq,и дун
移民,yi min,i² min²,yi min,и минь
遗产,yi chan,i² ch'an³,yi chaan,и чань
遗传,yi chuan,i² ch'uan²,yi chwan,и чуань
疑问,yi wen,i² wen⁴,yi wenn,и вэнь
以及,yi ji,i³ chi²,yii jyi,и цзи
以内,yi nei,i³ nei⁴,yii ney,и нэй
义务,yi wu,i⁴ wu⁴,yih wuh,и у
议论,yi lun,i⁴ lun⁴,yih luenn,и лунь
引,yin,yin³,yiin,инь
引导,yin dao,yin³ tao³,yiin dao,инь дао
引进,yin jin,yin³ chin⁴,yiin jinn,инь цзинь
引起,yin qi,yin³ ch'i³,yiin chii,инь ци
应,ying,ying¹,ing,ин
英勇,ying yong,ying¹ yung³,ing yeong,ин юн
营业,ying ye,ying² yeh⁴,yng yeh,ин е
赢得,ying de,ying² te²,yng der,ин дэ
影子,ying zi,ying³ zi,yiing zi,ин цзы
勇敢,yong gan,yung³ kan³,yeong gaan,юн гань
勇气,yong qi,yung³ ch'i⁴,yeong chih,юн ци
用途,yong tu,yung⁴ t'u²,yonq twu,юн ту
优良,you liang,yu¹ liang²,iou liang,ю лян
优美,you mei,yu¹ mei³,iou meei,ю мэй
优秀,you xiu,yu¹ hsiu⁴,iou shiow,ю сю
邮局,you ju,yu² chü²,you jyu,ю цзюй
有趣,you qu,yu³ ch'ü⁴,yeou chiuh,ю цюй
有限,you xian,yu³ hsien⁴,yeou shiann,ю сянь
幼儿园,you er yuan,yu⁴ erh² yüan²,yow erl yuan,ю эр юань
于是,yu shi,yü² shih⁴,yu shyh,юй ши
语法,yu fa,yü³ fa³,yeu faa,юй фа
语音,yu yin,yü³ yin¹,yeu in,юй инь
玉,yu,yü⁴,yuh,юй
玉米,yu mi,yü⁴ mi³,yuh mii,юй ми
预测,yu ce,yü⁴ ts'e⁴,yuh tseh,юй цэ
预订,yu ding,yü⁴ ting⁴,yuh dinq,юй дин
遇,yu,yü⁴,yuh,юй
遇到,yu dao,yü⁴ tao⁴,yuh daw,юй дао
遇见,yu jian,yü⁴ chien⁴,yuh jiann,юй цзянь
原料,yuan liao,yüan² liao⁴,yuan liaw,юань ляо
原则,yuan ze,yüan² tse²,yuan tzer,юань цзэ
圆,yuan,yüan²,yuan,юань
圆满,yuan man,yüan² man³,yuan maan,юань мань
约会,yue hui,yüeh¹ hui⁴,iue huey,юэ хуэй
月底,yue di,yüeh⁴ ti³,yueh dii,юэ ди
阅读,yue du,yüeh⁴ tu²,yueh dwu,юэ ду
运动会,yun dong hui,yün⁴ tung⁴ hui⁴,yunn donq huey,юнь дун хуэй
运动员,yun dong yuan,yün⁴ tung⁴ yüan²,yunn donq yuan,юнь дун юань
运气,yun qi,yün⁴ qi,yunn qi,юнь ци
运用,yun yong,yün⁴ yung⁴,yunn yonq,юнь юн
再三,zai san,tsai⁴ san¹,tzay san,цзай сань
在乎,zai hu,tsai⁴ hu,tzay hu,цзай ху
在于,zai yu,tsai⁴ yü²,tzay yu,цзай юй
赞成,zan cheng,tsan⁴ ch'eng²,tzann cherng,цзань чэн
赞赏,zan shang,tsan⁴ shang³,tzann shaang,цзань шан
赞助,zan zhu,tsan⁴ chu⁴,tzann juh,цзань чжу
造型,zao xing,tsao⁴ hsing²,tzaw shyng,цзао син
战斗,zhan dou,chan⁴ tou⁴,jann dow,чжань доу
战胜,zhan sheng,chan⁴ sheng⁴,jann shenq,чжань шэн
战士,zhan shi,chan⁴ shih⁴,jann shyh,чжань ши
战争,zhan zheng,chan⁴ cheng¹,jann jeng,чжань чжэн
丈夫,zhang fu,chang⁴ fu,janq fu,чжан фу
招呼,zhao hu,chao¹ hu,jau hu,чжао ху
着火,zhao huo,chao² huo³,jaur huoo,чжао хо
着急,zhao ji,chao² chi²,jaur jyi,чжао цзи
召开,zhao kai,chao⁴ k'ai¹,jaw kai,чжао кай
针,zhen,chen¹,jen,чжэнь
针对,zhen dui,chen¹ tui⁴,jen duey,чжэнь дуй
阵,zhen,chen⁴,jenn,чжэнь
争论,zheng lun,cheng¹ lun⁴,jeng luenn,чжэн лунь
征服,zheng fu,cheng¹ fu²,jeng fwu,чжэн фу
征求,zheng qiu,cheng¹ ch'iu²,jeng chyou,чжэн цю
政府,zheng fu,cheng⁴ fu³,jenq fuu,чжэн фу
政治,zheng zhi,cheng⁴ chih⁴,jenq jyh,чжэн чжи
之后,zhi hou,chih¹ hou⁴,jy how,чжи хоу
之间,zhi jian,chih¹ chien¹,jy jian,чжи цзянь
之前,zhi qian,chih¹ ch'ien²,jy chyan,чжи цянь
之一,zhi yi,chih¹ i¹,jy i,чжи и
支,zhi,chih¹,jy,чжи
植物,zhi wu,chih² wu⁴,jyr wuh,чжи у
指挥,zhi hui,chih³ hui¹,jyy huei,чжи хуэй
制订,zhi ding,chih⁴ ting⁴,jyh dinq,чжи дин
质量,zhi liang,chih⁴ liang⁴,jyh lianq,чжи лян
治,zhi,chih⁴,jyh,чжи
治疗,zhi liao,chih⁴ liao²,jyh liau,чжи ляо
智力,zhi li,chih⁴ li⁴,jyh lih,чжи ли
智能,zhi neng,chih⁴ neng²,jyh neng,чжи нэн
中介,zhong jie,chung¹ chieh⁴,jong jieh,чжун цзе
种类,zhong lei,chung³ lei⁴,joong ley,чжун лэй
中奖,zhong jiang,chung⁴ chiang³,jonq jeang,чжун цзян
种,zhong,chung³,joong,чжун
种植,zhong zhi,chung⁴ chih²,jonq jyr,чжун чжи
重量,zhong liang,chung⁴ liang⁴,jonq lianq,чжун лян
逐步,zhu bu,chu² pu⁴,jwu buh,чжу бу
逐渐,zhu jian,chu² chien⁴,jwu jiann,чжу цзянь
主题,zhu ti,chu³ t'i²,juu tyi,чжу ти
主席,zhu xi,chu³ hsi²,juu shyi,чжу си
祝福,zhu fu,chu⁴ fu²,juh fwu,чжу фу
著名,zhu ming,chu⁴ ming²,juh ming,чжу мин
著作,zhu zuo,chu⁴ tso⁴,juh tzuoh,чжу цзо
抓紧,zhua jin,chua¹ chin³,jua jiin,чжуа цзинь
专心,zhuan xin,chuan¹ hsin¹,juan shin,чжуань синь
转动,zhuan dong,chuan³ tung⁴,joan donq,чжуань дун
转告,zhuan gao,chuan³ kao⁴,joan gaw,чжуань гао
转身,zhuan shen,chuan³ shen¹,joan shen,чжуань шэнь
转弯,zhuan wan,chuan³ wan¹,joan uan,чжуань вань
转移,zhuan yi,chuan³ i²,joan yi,чжуань и
装修,zhuang xiu,chuang¹ hsiu¹,juang shiou,чжуан сю
装置,zhuang zhi,chuang¹ chih⁴,juang jyh,чжуан чжи
追求,zhui qiu,chui¹ ch'iu²,juei chyou,чжуй цю
准时,zhun shi,chun³ shih²,joen shyr,чжунь ши
资料,zi liao,tzu¹ liao⁴,tzy liaw,цзы ляо
资源,zi yuan,tzu¹ yüan²,tzy yuan,цзы юань
自,zi,tzu⁴,tzyh,цзы
自信,zi xin,tzu⁴ hsin⁴,tzyh shinn,цзы синь
字母,zi mu,tzu⁴ mu³,tzyh muu,цзы му
综合,zong he,tsung¹ ho²,tzong her,цзун хэ
总共,zong gong,tsung³ kung⁴,tzoong gonq,цзун гун
总理,zong li,tsung³ li³,tzoong lii,цзун ли
总统,zong tong,tsung³ t'ung³,tzoong toong,цзун тун
总之,zong zhi,tsung³ chih¹,tzoong jy,цзун чжи
阻止,zu zhi,tsu³ chih³,tzuu jyy,цзу чжи
嘴巴,zui ba,tsui³ ba,tzoei ba,цзуй ба
最初,zui chu,tsui⁴ ch'u¹,tzuey chu,цзуй чу
作出,zuo chu,tso⁴ ch'u¹,tzuoh chu,цзо чу
作为,zuo wei,tso⁴ wei²,tzuoh wei,цзо вэй
安慰,an wei,an¹ wei⁴,an wey,ань вэй
岸,an,an⁴,ann,ань
岸上,an shang,an⁴ shang⁴,ann shanq,ань шан
按摩,an mo,an⁴ mo²,ann mo,ань мо
拔,ba,pa²,bar,ба
白酒,bai jiu,pai² chiu³,bair jeou,бай цзю
拜访,bai fang,pai⁴ fang³,bay faang,бай фан
版,ban,pan³,baan,бань
扮演,ban yan,pan⁴ yan³,bann yean,бань янь
棒,bang,pang⁴,banq,бан
包围,bao wei,pao¹ wei²,bau wei,бао вэй
包装,bao zhuang,pao¹ chuang¹,bau juang,бао чжуан
保卫,bao wei,pao³ wei⁴,bao wey,бао вэй
保养,bao yang,pao³ yang³,bao yeang,бао ян
报答,bao da,pao⁴ ta²,baw dar,бао да
报警,bao jing,pao⁴ ching³,baw jiing,бао цзин
抱怨,bao yuan,pao⁴ yüan⁴,baw yuann,бао юань
背包,bei bao,pei¹ pao¹,bei bau,бэй бао
悲剧,bei ju,pei¹ chü⁴,bei jiuh,бэй цзюй
悲伤,bei shang,pei¹ shang¹,bei shang,бэй шан
北极,bei ji,pei³ chi²,beei jyi,бэй цзи
被动,bei dong,pei⁴ tung⁴,bey donq,бэй дун
辈,bei,pei⁴,bey,бэй
本人,ben ren,pen³ jen²,been ren,бэнь жэнь
鼻子,bi zi,pi² zi,byi zi,би цзы
比重,bi zhong,pi³ chung⁴,bii jonq,би чжун
彼此,bi ci,pi³ tz'u³,bii tsyy,би цы
必,bi,pi⁴,bih,би
必需,bi xu,pi⁴ hsü¹,bih shiu,би сюй
毕竟,bi jing,pi⁴ ching⁴,bih jinq,би цзин
闭幕,bi mu,pi⁴ mu⁴,bih muh,би му
闭幕式,bi mu shi,pi⁴ mu⁴ shih⁴,bih muh shyh,би му ши
边境,bian jing,pien¹ ching⁴,bian jinq,бянь цзин
编辑,bian ji,pien¹ chi²,bian jyi,бянь цзи
变动,bian dong,pien⁴ tung⁴,biann donq,бянь дун
便利,bian li,pien⁴ li⁴,biann lih,бянь ли
便条,bian tiao,pien⁴ t'iao²,biann tyau,бянь тяо
便于,bian yu,pien⁴ yü²,biann yu,бянь юй
宾馆,bin guan,pin¹ kuan³,bin goan,бинь гуань
饼,bing,ping³,biing,бин
饼干,bing gan,ping³ kan¹,biing gan,бин гань
病毒,bing du,ping⁴ tu²,binq dwu,бин ду
玻璃,bo li,po¹ li,bo li,бо ли
博客,bo ke,po² k'o⁴,bor keh,бо кэ
博览会,bo lan hui,po² lan³ hui⁴,bor laan huey,бо лань хуэй
博士,bo shi,po² shih⁴,bor shyh,бо ши
博物馆,bo wu guan,po² wu⁴ kuan³,bor wuh goan,бо у гуань
薄弱,bo ruo,po² jo⁴,bor ruoh,бо жо
补偿,bu chang,pu³ ch'ang²,buu charng,бу чан
补贴,bu tie,pu³ t'ieh¹,buu tie,бу те
不曾,bu ceng,pu⁴ ts'eng²,buh tserng,бу цэн
不敢当,bu gan dang,pu⁴ kan³ tang¹,buh gaan dang,бу гань дан
不良,bu liang,pu⁴ liang²,buh liang,бу лян
不免,bu mian,pu⁴ mien³,buh mean,бу мянь
不能不,bu neng bu,pu⁴ neng² pu⁴,buh neng buh,бу нэн бу
不时,bu shi,pu⁴ shih²,buh shyr,бу ши
不停,bu ting,pu⁴ t'ing²,buh tyng,бу тин
不许,bu xu,pu⁴ hsü³,buh sheu,бу сюй
