Chinese,Pinyin,Wade-Giles,Romatzyh,Palladiy
陆地,лу ди,лу  ти ,лух дих,лу ди
陆续,лу xу,лу  хсу ,лух шиух,лу сюй
录取,лу ку,лу  чу ,лух чеу,лу цюй
轮,лун,лун ,луен,лунь
轮船,лун чуан,лун  чуан ,луен чвоан,лунь чуань
轮椅,лун ыи,лун  и ,луен ыии,лунь и
轮子,лун зи,лун  зи,луен зи,лунь цзы
论文,лун воен,лун  воен ,луенн воен,лунь вэнь
毛巾,мао йин,мао  чин ,мау йин,мао цзинь
毛衣,мао ыи,мао  и ,мау и,мао и
帽子,мао зи,мао  зи,маво зи,мао цзы
没错,меи цуо,меи  цо ,меи цуох,мэй цо
没想到,меи xианг дао,меи  хсианг  тао ,меи шеанг даво,мэй сян дао
美金,меи йин,меи  чин ,мееи йин,мэй цзинь
梦,менг,менг ,менк,мэн
梦见,менг йиан,менг  чиен ,менк йианн,мэн цзянь
梦想,менг xианг,менг  хсианг ,менк шеанг,мэн сян
秘密,ми ми,ми  ми ,мих мих,ми ми
秘书,ми шу,ми  шу ,мих шу,ми шу
密,ми,ми ,мих,ми
密码,ми ма,ми  ма ,мих маа,ми ма
密切,ми кие,ми  чиех ,мих чиех,ми це
免费,миан феи,миен  феи ,меан феы,мянь фэй
面临,миан лин,миен  лин ,мианн лин,мянь линь
面试,миан ши,миен  ших ,мианн шых,мянь ши
描述,миао шу,миао  шу ,миау шух,мяо шу
描写,миао xие,миао  хсиех ,миау шиее,мяо се
名片,минг пиан,минг  пиен ,минг пианн,мин пянь
名人,минг рен,минг  йен ,минг рен,мин жэнь
摸,мо,мо ,мхо,мо
模特儿,мо те ер,мо  те  р,мо тех р,мо тэ эр
模型,мо xинг,мо  хсинг ,мо шынг,мо син
末,мо,мо ,мох,мо
默默,мо мо,мо  мо ,мох мох,мо мо
哪怕,на па,на  па ,наа пах,на па
哪,на,на ,наа,на
男士,нан ши,нан  ших ,нан шых,ши
难免,нан миан,нан  миен ,нан меан,мянь
脑袋,нао даи,нао  даи,нао даи,нао дай
闹,нао,нао ,наво,нао
闹钟,нао жонг,нао  чунг ,наво йонг,нао чжун
内部,неи бу,неи  пу ,неы бух,нэй бу
内科,неи ке,неи  ко ,неы ке,нэй кэ
能干,ненг ган,ненг  кан ,ненг ганн,нэн гань
宁静,нинг йинг,нинг  чинг ,нинг йинк,нин цзин
浓,нонг,нунг ,нонг,нун
暖气,нуан ки,нуан  чи ,ноан чих,нуань ци
拍照,паи жао,паи  чао ,паи яво,пай чжао
排列,паи лие,паи  лиех ,паир лиех,пай ле
牌,паи,паи ,паир,пай
盘,пан,пан ,парн,пань
盘子,пан зи,пан  зи,парн зи,пань цзы
胖子,панг зи,панг  зи,панк зи,пан цзы
培训,пеи xун,пеи  хсун ,пеир шиунн,пэй сюнь
培训班,пеи xун бан,пеи  хсун  пан ,пеир шиунн бан,пэй сюнь бань
培养,пеи ыанг,пеи  ыанг ,пеир ыеанг,пэй ян
培育,пеи ыу,пеи  ыу ,пеир ыух,пэй юй
批,пи,пи ,пи,пи
批,пи,пи ,пи,пи
片面,пиан миан,пиен  миен ,пианн мианн,пянь мянь
品质,пин жи,пин  чих ,пиин йых,пинь чжи
平方,пинг фанг,пинг  фанг ,пынг фанг,пин фан
平静,пинг йинг,пинг  чинг ,пынг йинк,пин цзин
平均,пинг юн,пинг  чун ,пынг йиун,пин цзюнь
平稳,пинг воен,пинг  воен ,пынг вооен,пин вэнь
迫切,по кие,по  чиех ,пох чиех,по це
破产,по чан,по  чан ,пох чаан,по чань
期待,ки даи,чи  таи ,чи даы,ци дай
期间,ки йиан,чи  чиен ,чи йиан,ци цзянь
期末,ки мо,чи  мо ,чи мох,ци мо
期限,ки xиан,чи  хсиен ,чи шианн,ци сянь
期中,ки жонг,чи  чунг ,чи йонг,ци чжун
其余,ки ыу,чи  ыу ,чыи ыу,ци юй
企业,ки ые,чи  ыех ,чии ыех,ци е
气球,ки киу,чи  чиу ,чих чыоу,ци цю
汽水,ки шуи,чи  шуи ,чих шоеи,ци шуй
汽油,ки ыоу,чи  ыу ,чих ыоу,ци ю
器官,ки гуан,чи  куан ,чих гуан,ци гуань
前头,киан тоу,чиен  тоу,чыан тоу,цянь тоу
前途,киан ту,чиен  ту ,чыан твоу,цянь ту
巧克力,киао ке ли,чиао  ко  ли ,чеау кех лих,цяо кэ ли
切,кие,чиех ,чие,це
亲爱,кин аи,чин  аи ,чин аы,цинь ай
亲密,кин ми,чин  ми ,чин мих,цинь ми
青春,кинг чун,чинг  чун ,чинг чуен,цин чунь
轻松,кинг сонг,чинг  сунг ,чинг сонг,цин сун
轻易,кинг ыи,чинг  и ,чинг ыих,цин и
清醒,кинг xинг,чинг  хсинг ,чинг шиинг,цин син
情景,кинг йинг,чинг  чинг ,чынг йиинг,цин цзин
穷,кионг,чиунг ,чыонг,цюн
穷人,кионг рен,чиунг  йен ,чыонг рен,цюн жэнь
秋季,киу йи,чиу  чи ,чиоу йих,цю цзи
趋势,ку ши,чу  ших ,чиу шых,цюй ши
权利,куан ли,чуан  ли ,чыуан лих,цюань ли
却,куе,чуех ,чиуех,цюэ
确认,куе рен,чуех  йен ,чиуех ренн,цюэ жэнь
然而,ран ер,ян  ерх ,ран ерл,жань эр
燃料,ран лиао,ян  лиао ,ран лиаво,жань ляо
燃烧,ран шао,ян  шао ,ран шау,жань шао
热闹,ре нао,йе  нао,рех нао,жэ нао
热心,ре xин,йе  хсин ,рех шин,жэ синь
人家,рен йиа,йен  чиа ,рен йиа,жэнь цзя
日记,ри йи,йих  чи ,рых йих,жи цзи
日历,ри ли,йих  ли ,рых лих,жи ли
如今,ру йин,ю  чин ,ру йин,жу цзинь
弱,руо,йо ,руох,жо
伞,сан,сан ,саан,сань
散,сан,сан ,санн,сань
扫,сао,сао ,сао,сао
色,се,се ,сех,сэ
色彩,се цаи,се  цаи ,сех цае,сэ цай
森林,сен лин,сен  лин ,сен лин,сэнь линь
晒,шаи,шаи ,шаы,шай
闪,шан,шан ,шаан,шань
闪电,шан диан,шан  тиен ,шаан дианн,шань дянь
善良,шан лианг,шан  лианг ,шанн лианг,шань лян
善于,шан ыу,шан  ыу ,шанн ыу,шань юй
伤害,шанг хаи,шанг  хаи ,шанг хаы,шан хай
商务,шанг воу,шанг  воу ,шанг воух,шан у
赏,шанг,шанг ,шаанг,шан
上个月,шанг ге ыуе,шанг  ко  ыуех ,шанк гех ыуех,шан гэ юэ
上楼,шанг лоу,шанг  лоу ,шанк лоу,шан лоу
上门,шанг мен,шанг  мен ,шанк мен,шан мэнь
烧,шао,шао ,шау,шао
设施,ше ши,ше  ших ,шех шы,шэ ши
设置,ше жи,ше  чих ,шех йых,шэ чжи
申请,шен кинг,шен  чинг ,шен чиинг,шэнь цин
身材,шен цаи,шен  цаи ,шен цаир,шэнь цай
身份,шен фен,шен  фен ,шен фенн,шэнь фэнь
身高,шен гао,шен  као ,шен гау,шэнь гао
深厚,шен хоу,шен  хоу ,шен хово,шэнь хоу
神话,шен хуа,шен  хуа ,шерн хуах,шэнь хуа
神秘,шен ми,шен  ми ,шерн мих,шэнь ми
甚至,шен жи,шен  чих ,шенн йых,шэнь чжи
失败,ши баи,ших  паи ,шы баы,ши бай
失望,ши воанг,ших  воанг ,шы воанк,ши ван
失业,ши ые,ших  ыех ,шы ыех,ши е
诗,ши,ших ,шы,ши
诗人,ши рен,ших  йен ,шы рен,ши жэнь
湿,ши,ших ,шы,ши
实施,ши ши,ших  ших ,шыр шы,ши ши
实用,ши ыонг,ших  ыунг ,шыр ыонк,ши юн
食堂,ши танг,ших  танг ,шыр тарнг,ши тан
使劲,ши йинг,ших  чин ,шыы йинн,ши цзин
士兵,ши бинг,ших  пинг ,шых бинг,ши бин
市区,ши ку,ших  чу ,шых чиу,ши цюй
似的,си де,ших  де,шых де,сы дэ
事物,ши воу,ших  воу ,шых воух,ши у
事先,ши xиан,ших  хсиен ,шых шиан,ши сянь
试卷,ши юан,ших  чуан ,шых йиуанн,ши цзюань
是否,ши фоу,ших  фоу ,шых фооу,ши фоу
收回,шоу хуи,шоу  хуи ,шоу хвоеи,шоу хуэй
收获,шоу хуо,шоу  хуо ,шоу хуох,шоу хо
收益,шоу ыи,шоу  и ,шоу ыих,шоу и
手工,шоу гонг,шоу  кунг ,шооу гонг,шоу гун
手里,шоу ли,шоу  ли ,шооу лии,шоу ли
手术,шоу жу,шоу  шу ,шооу шух,шоу чжу
手套,шоу тао,шоу  тао ,шооу таво,шоу тао
守,шоу,шоу ,шооу,шоу
首,шоу,шоу ,шооу,шоу
售货员,шоу хуо ыуан,шоу  хуо  ыуан ,шово хуох ыуан,шоу хо юань
叔叔,шу шу,шу  шу,шу шу,шу шу
舒适,шу ши,шу  ших ,шу шых,шу ши
熟练,шу лиан,шу  лиен ,швоу лианн,шу лянь
暑假,шу йиа,шу  чиа ,шуу йиах,шу цзя
树林,шу лин,шу  лин ,шух лин,шу линь
树叶,шу ые,шу  ыех ,шух ыех,шу е
数据,шу ю,шу  чу ,шух йиух,шу цзюй
数码,шу ма,шу  ма ,шух маа,шу ма
刷,шуа,шуа ,шуа,шуа
刷牙,шуа ыа,шуа  ыа ,шуа ыа,шуа я
刷子,шуа зи,шуа  зи,шуа зи,шуа цзы
帅,шуаи,шуаи ,шуаы,шуай
帅哥,шуаи ге,шуаи  ко ,шуаы ге,шуай гэ
率先,лв xиан,шуаи  хсиен ,шуаы шиан,сянь
睡着,шуи жао,шуи  чао ,шуеы яур,шуй чжао
顺序,шун xу,шун  хсу ,шуенн шиух,шунь сюй
说不定,шуо бу динг,шуо  бу тинг ,шуо бу динк,шо бу дин
说服,шуо фу,шуо  фу ,шуо фвоу,шо фу
思考,си као,ссу  као ,сы као,сы као
似乎,си ху,ссу  ху ,сых ху,сы ху
松,сонг,сунг ,сонг,сун
松树,сонг шу,сунг  шу ,сонг шух,сун шу
塑料,су лиао,су  лиао ,сух лиаво,су ляо
塑料袋,су лиао даи,су  лиао  таи ,сух лиаво даы,су ляо дай
酸,суан,суан ,суан,суань
酸奶,суан наи,суан  наи ,суан нае,суань най
随手,суи шоу,суи  шоу ,своеи шооу,суй шоу
缩短,суо дуан,со  туан ,суо доан,со дуань
缩小,суо xиао,со  хсиао ,суо шеау,со сяо
台阶,таи йие,таи  чиех ,таир йие,тай цзе
台上,таи шанг,таи  шанг ,таир шанк,тай шан
躺,танг,танг ,таанг,тан
套餐,тао цан,тао  цан ,таво цан,тао цань
特价,те йиа,те  чиа ,тех йиах,тэ цзя
特殊,те шу,те  шу ,тех шу,тэ шу
特征,те женг,те  ченг ,тех йенг,тэ чжэн
提供,ти гонг,ти  кунг ,тыи гонг,ти гун
提醒,ти xинг,ти  хсинг ,тыи шиинг,ти син
体操,ти цао,ти  цао ,тии цау,ти цао
体检,ти йиан,ти  чиен ,тии йеан,ти цзянь
体重,ти жонг,ти  чунг ,тии йонк,ти чжун
替,ти,ти ,тих,ти
替代,ти даи,ти  таи ,тих даы,ти дай
天真,тиан жен,тиен  чен ,тиан йен,тянь чжэнь
填,тиан,тиен ,тыан,тянь
填空,тиан конг,тиен  кунг ,тыан конк,тянь кун
挑,тиао,тиао ,тиау,тяо
挑选,тиао xуан,тиао  хсуан ,тиау шеуан,тяо сюань
调皮,диао пи,тиао  пи ,тыау пыи,дяо пи
挑战,тиао жан,тиао  чан ,теау янн,тяо чжань
贴,тие,тиех ,тие,те
停下,тинг xиа,тинг  хсиа ,тынг шиах,тин ся
挺,тинг,тинг ,тиинг,тин
通知书,тонг жи шу,тунг  чих  шу ,тонг йы шу,тун чжи шу
同情,тонг кинг,тунг  чинг ,торнг чынг,тун цин
童话,тонг хуа,тунг  хуа ,торнг хуах,тун хуа
童年,тонг ниан,тунг  ниен ,торнг ниан,тун нянь
统计,тонг йи,тунг  чи ,тоонг йих,тун цзи
统一,тонг ыи,тунг  и ,тоонг и,тун и
痛快,тонг куаи,тунг  куаи ,тонк куаы,тун куай
投,тоу,тоу ,тоур,тоу
投入,тоу ру,тоу  ю ,тоур рух,тоу жу
投诉,тоу су,тоу  су ,тоур сух,тоу су
投资,тоу зи,тоу  тзу ,тоур тзы,тоу цзы
透,тоу,тоу ,тово,тоу
透明,тоу минг,тоу  минг ,тово минг,тоу мин
图案,ту ан,ту  ан ,твоу анн,ту ань
途中,ту жонг,ту  чунг ,твоу йонг,ту чжун
土地,ту ди,ту  ти ,туу дих,ту ди
推迟,туи чи,туи  чих ,туеи чыр,туй чи
推销,туи xиао,туи  хсиао ,туеи шиау,туй сяо
脱,туо,то ,туо,то
袜子,воа зи,воа  зи,воах зи,ва цзы
外汇,воаи хуи,воаи  хуи ,воаы хуеы,вай хуэй
外交官,воаи йиао гуан,воаи  чиао  куан ,воаы йиау гуан,вай цзяо гуань
外套,воаи тао,воаи  тао ,воаы таво,вай тао
弯,воан,воан ,уан,вань
晚点,воан диан,воан  тиен ,вооан деан,вань дянь
万一,воан ыи,воан  и ,воанн и,вань и
王,воанг,воанг ,воанг,ван
网络,воанг луо,воанг  ло ,вооанг луох,ван ло
网址,воанг жи,воанг  чих ,вооанг йыы,ван чжи
微笑,воеи xиао,воеи  хсиао ,уеи шиаво,вэй сяо
微信,воеи xин,воеи  хсин ,уеи шинн,вэй синь
围巾,воеи йин,воеи  чин ,воеи йин,вэй цзинь
维持,воеи чи,воеи  чих ,воеи чыр,вэй чи
维护,воеи ху,воеи  ху ,воеи хух,вэй ху
维修,воеи xиу,воеи  хсиу ,воеи шиоу,вэй сю
尾巴,воеи ба,воеи  ба,вооеи ба,вэй ба
未必,воеи би,воеи  пи ,воеы бих,вэй би
未来,воеи лаи,воеи  лаи ,воеы лаи,вэй лай
位于,воеи ыу,воеи  ыу ,воеы ыу,вэй юй
味儿,воеи ер,воеи  р,воеы р,вэй эр
喂,воеи,воеи ,воеы,вэй
稳,воен,воен ,вооен,вэнь
稳定,воен динг,воен  тинг ,вооен динк,вэнь дин
问候,воен хоу,воен  хоу ,военн хово,вэнь хоу
无,воу,воу ,воу,у
无法,воу фа,воу  фа ,воу фаа,у фа
无聊,воу лиао,воу  лиао ,воу лиау,у ляо
无论,воу лун,воу  лун ,воу луенн,у лунь
无数,воу шу,воу  шу ,воу шух,у шу
无所谓,воу суо воеи,воу  со  воеи ,воу суоо воеы,у со вэй
无限,воу xиан,воу  хсиен ,воу шианн,у сянь
五颜六色,воу ыан лиу се,воу  ыан  лиу  се ,воуу ыан лиово сех,у янь лю сэ
误会,воу хуи,воу  хуи ,воух хуеы,у хуэй
西瓜,xи гуа,хси  куа ,ши гуа,си гуа
吸,xи,хси ,ши,си
吸管,xи гуан,хси  куан ,ши гоан,си гуань
吸收,xи шоу,хси  шоу ,ши шоу,си шоу
吸烟,xи ыан,хси  ыан ,ши иан,си янь
吸引,xи ыин,хси  ыин ,ши ыиин,си инь
喜爱,xи аи,хси  аи ,шии аы,си ай
系列,xи лие,хси  лиех ,ших лиех,си ле
系统,xи тонг,хси  тунг ,ших тоонг,си тун
细,xи,хси ,ших,си
细节,xи йие,хси  чиех ,ших йые,си цзе
细致,xи жи,хси  чих ,ших йых,си чжи
下个月,xиа ге ыуе,хсиа  ко  ыуех ,шиах гех ыуех,ся гэ юэ
下降,xиа йианг,хсиа  чианг ,шиах йианк,ся цзян
下楼,xиа лоу,хсиа  лоу ,шиах лоу,ся лоу
夏季,xиа йи,хсиа  чи ,шиах йих,ся цзи
鲜,xиан,хсиен ,шиан,сянь
鲜花,xиан хуа,хсиен  хуа ,шиан хуа,сянь хуа
鲜明,xиан минг,хсиен  минг ,шиан минг,сянь мин
咸,xиан,хсиен ,шыан,сянь
显著,xиан жу,хсиен  чу ,шеан юх,сянь чжу
县,xиан,хсиен ,шианн,сянь
限制,xиан жи,хсиен  чих ,шианн йых,сянь чжи
相处,xианг чу,хсианг  чу ,шианг чуу,сян чу
相反,xианг фан,хсианг  фан ,шианг фаан,сян фань
箱,xианг,хсианг ,шианг,сян
箱子,xианг зи,хсианг  зи,шианг зи,сян цзы
想念,xианг ниан,хсианг  ниен ,шеанг нианн,сян нянь
想象,xианг xианг,хсианг  хсианг ,шеанг шианк,сян сян
项,xианг,хсианг ,шианк,сян
项目,xианг му,хсианг  му ,шианк мух,сян му
相片,xианг пиан,хсианг  пиен ,шианк пианн,сян пянь
消化,xиао хуа,хсиао  хуа ,шиау хуах,сяо хуа
销售,xиао шоу,хсиао  шоу ,шиау шово,сяо шоу
小吃,xиао чи,хсиао  чих ,шеау чы,сяо чи
小伙子,xиао хуо зи,хсиао  хуо  зи,шеау хуоо зи,сяо хо цзы
小型,xиао xинг,хсиао  хсинг ,шеау шынг,сяо син
些,xие,хсиех ,шие,се
心理,xин ли,хсин  ли ,шин лии,синь ли
新郎,xин ланг,хсин  ланг ,шин ланг,синь лан
新娘,xин нианг,хсин  нианг ,шин нианг,синь нян
新鲜,xин xиан,хсин  хсиен ,шин шиан,синь сянь
新型,xин xинг,хсин  хсинг ,шин шынг,синь син
兴奋,xинг фен,хсинг  фен ,шинг фенн,син фэнь
形容,xинг ронг,хсинг  юнг ,шынг ронг,син жун
形势,xинг ши,хсинг  ших ,шынг шых,син ши
型,xинг,хсинг ,шынг,син
型号,xинг хао,хсинг  хао ,шынг хаво,син хао
醒,xинг,хсинг ,шиинг,син
兴趣,xинг ку,хсинг  чу ,шинк чиух,син цюй
性质,xинг жи,хсинг  чих ,шинк йых,син чжи
兄弟,xионг ди,хсиунг  ти ,шионг дих,сюн ди
胸部,xионг бу,хсиунг  пу ,шионг бух,сюн бу
修理,xиу ли,хсиу  ли ,шиоу лии,сю ли
选择,xуан зе,хсуан  це ,шеуан тзер,сюань цзэ
学分,xуе фен,хсуех  фен ,шыуе фен,сюэ фэнь
学年,xуе ниан,хсуех  ниен ,шыуе ниан,сюэ нянь
学时,xуе ши,хсуех  ших ,шыуе шыр,сюэ ши
学术,xуе жу,хсуех  шу ,шыуе шух,сюэ чжу
寻找,xун жао,хсун  чао ,шыун яо,сюнь чжао
迅速,xун су,хсун  су ,шиунн сух,сюнь су
牙,ыа,ыа ,ыа,я
牙刷,ыа шуа,ыа  шуа ,ыа шуа,я шуа
亚运会,ыа ыун хуи,ыа  ыун  хуи ,ыах ыунн хуеы,я юнь хуэй
呀,ыа,ыа,ыа,я
延长,ыан чанг,ыан  чанг ,ыан чарнг,янь чан
延期,ыан ки,ыан  чи ,ыан чи,янь ци
延续,ыан xу,ыан  хсу ,ыан шиух,янь сюй
严,ыан,ыан ,ыан,янь
严格,ыан ге,ыан  ко ,ыан гер,янь гэ
严重,ыан жонг,ыан  чунг ,ыан йонк,янь чжун
研究,ыан йиу,ыан  чиу ,ыан йиоу,янь цзю
研究生,ыан йиу шенг,ыан  чиу  шенг ,ыан йиоу шенг,янь цзю шэн
研制,ыан жи,ыан  чих ,ыан йых,янь чжи
盐,ыан,ыан ,ыан,янь
眼镜,ыан йинг,ыан  чинг ,ыеан йинк,янь цзин
眼泪,ыан леи,ыан  леи ,ыеан леы,янь лэй
演讲,ыан йианг,ыан  чианг ,ыеан йеанг,янь цзян
阳台,ыанг таи,ыанг  таи ,ыанг таир,ян тай
养成,ыанг ченг,ыанг  ченг ,ыеанг чернг,ян чэн
腰,ыао,ыао ,иау,яо
摇,ыао,ыао ,ыау,яо
药物,ыао воу,ыао  воу ,ыаво воух,яо у
要,ыао,ыао ,ыаво,яо
业余,ые ыу,ыех  ыу ,ыех ыу,е юй
叶子,ые зи,ыех  зи,ыех зи,е цзы
医疗,ыи лиао,и  лиао ,и лиау,и ляо
医学,ыи xуе,и  хсуех ,и шыуе,и сюэ
依靠,ыи као,и  као ,и каво,и као
依然,ыи ран,и  ян ,и ран,и жань
移,ыи,и ,ыи,и
移动,ыи донг,и  тунг ,ыи донк,и дун
移民,ыи мин,и  мин ,ыи мин,и минь
遗产,ыи чан,и  чан ,ыи чаан,и чань
遗传,ыи чуан,и  чуан ,ыи чвоан,и чуань
疑问,ыи воен,и  воен ,ыи военн,и вэнь
以及,ыи йи,и  чи ,ыии йыи,и цзи
以内,ыи неи,и  неи ,ыии неы,и нэй
义务,ыи воу,и  воу ,ыих воух,и у
议论,ыи лун,и  лун ,ыих луенн,и лунь
引,ыин,ыин ,ыиин,инь
引导,ыин дао,ыин  тао ,ыиин дао,инь дао
引进,ыин йин,ыин  чин ,ыиин йинн,инь цзинь
引起,ыин ки,ыин  чи ,ыиин чии,инь ци
应,ыинг,ыинг ,инг,ин
英勇,ыинг ыонг,ыинг  ыунг ,инг ыеонг,ин юн
营业,ыинг ые,ыинг  ыех ,ынг ыех,ин е
赢得,ыинг де,ыинг  те ,ынг дер,ин дэ
影子,ыинг зи,ыинг  зи,ыиинг зи,ин цзы
勇敢,ыонг ган,ыунг  кан ,ыеонг гаан,юн гань
勇气,ыонг ки,ыунг  чи ,ыеонг чих,юн ци
用途,ыонг ту,ыунг  ту ,ыонк твоу,юн ту
优良,ыоу лианг,ыу  лианг ,иоу лианг,ю лян
优美,ыоу меи,ыу  меи ,иоу мееи,ю мэй
优秀,ыоу xиу,ыу  хсиу ,иоу шиово,ю сю
邮局,ыоу ю,ыу  чу ,ыоу йыу,ю цзюй
有趣,ыоу ку,ыу  чу ,ыеоу чиух,ю цюй
有限,ыоу xиан,ыу  хсиен ,ыеоу шианн,ю сянь
幼儿园,ыоу ер ыуан,ыу  ерх  ыуан ,ыово ерл ыуан,ю эр юань
于是,ыу ши,ыу  ших ,ыу шых,юй ши
语法,ыу фа,ыу  фа ,ыеу фаа,юй фа
语音,ыу ыин,ыу  ыин ,ыеу ин,юй инь
玉,ыу,ыу ,ыух,юй
玉米,ыу ми,ыу  ми ,ыух мии,юй ми
预测,ыу це,ыу  це ,ыух цех,юй цэ
预订,ыу динг,ыу  тинг ,ыух динк,юй дин
遇,ыу,ыу ,ыух,юй
遇到,ыу дао,ыу  тао ,ыух даво,юй дао
遇见,ыу йиан,ыу  чиен ,ыух йианн,юй цзянь
原料,ыуан лиао,ыуан  лиао ,ыуан лиаво,юань ляо
原则,ыуан зе,ыуан  це ,ыуан тзер,юань цзэ
圆,ыуан,ыуан ,ыуан,юань
圆满,ыуан ман,ыуан  ман ,ыуан маан,юань мань
约会,ыуе хуи,ыуех  хуи ,иуе хуеы,юэ хуэй
月底,ыуе ди,ыуех  ти ,ыуех дии,юэ ди
阅读,ыуе ду,ыуех  ту ,ыуех двоу,юэ ду
运动会,ыун донг хуи,ыун  тунг  хуи ,ыунн донк хуеы,юнь дун хуэй
运动员,ыун донг ыуан,ыун  тунг  ыуан ,ыунн донк ыуан,юнь дун юань
运气,ыун ки,ыун  ки,ыунн ки,юнь ци
运用,ыун ыонг,ыун  ыунг ,ыунн ыонк,юнь юн
再三,заи сан,цаи  сан ,тзаы сан,цзай сань
在乎,заи ху,цаи  ху,тзаы ху,цзай ху
在于,заи ыу,цаи  ыу ,тзаы ыу,цзай юй
赞成,зан ченг,цан  ченг ,тзанн чернг,цзань чэн
赞赏,зан шанг,цан  шанг ,тзанн шаанг,цзань шан
赞助,зан жу,цан  чу ,тзанн юх,цзань чжу
造型,зао xинг,цао  хсинг ,тзаво шынг,цзао син
战斗,жан доу,чан  тоу ,янн дово,чжань доу
战胜,жан шенг,чан  шенг ,янн шенк,чжань шэн
战士,жан ши,чан  ших ,янн шых,чжань ши
战争,жан женг,чан  ченг ,янн йенг,чжань чжэн
丈夫,жанг фу,чанг  фу,янк фу,чжан фу
招呼,жао ху,чао  ху,яу ху,чжао ху
着火,жао хуо,чао  хуо ,яур хуоо,чжао хо
着急,жао йи,чао  чи ,яур йыи,чжао цзи
召开,жао каи,чао  каи ,яво каи,чжао кай
针,жен,чен ,йен,чжэнь
针对,жен дуи,чен  туи ,йен дуеы,чжэнь дуй
阵,жен,чен ,йенн,чжэнь
争论,женг лун,ченг  лун ,йенг луенн,чжэн лунь
征服,женг фу,ченг  фу ,йенг фвоу,чжэн фу
征求,женг киу,ченг  чиу ,йенг чыоу,чжэн цю
政府,женг фу,ченг  фу ,йенк фуу,чжэн фу
政治,женг жи,ченг  чих ,йенк йых,чжэн чжи
之后,жи хоу,чих  хоу ,йы хово,чжи хоу
之间,жи йиан,чих  чиен ,йы йиан,чжи цзянь
之前,жи киан,чих  чиен ,йы чыан,чжи цянь
之一,жи ыи,чих  и ,йы и,чжи и
支,жи,чих ,йы,чжи
植物,жи воу,чих  воу ,йыр воух,чжи у
指挥,жи хуи,чих  хуи ,йыы хуеи,чжи хуэй
制订,жи динг,чих  тинг ,йых динк,чжи дин
质量,жи лианг,чих  лианг ,йых лианк,чжи лян
治,жи,чих ,йых,чжи
治疗,жи лиао,чих  лиао ,йых лиау,чжи ляо
智力,жи ли,чих  ли ,йых лих,чжи ли
智能,жи ненг,чих  ненг ,йых ненг,чжи нэн
中介,жонг йие,чунг  чиех ,йонг йиех,чжун цзе
种类,жонг леи,чунг  леи ,йоонг леы,чжун лэй
中奖,жонг йианг,чунг  чианг ,йонк йеанг,чжун цзян
种,жонг,чунг ,йоонг,чжун
种植,жонг жи,чунг  чих ,йонк йыр,чжун чжи
重量,жонг лианг,чунг  лианг ,йонк лианк,чжун лян
逐步,жу бу,чу  пу ,йвоу бух,чжу бу
逐渐,жу йиан,чу  чиен ,йвоу йианн,чжу цзянь
主题,жу ти,чу  ти ,юу тыи,чжу ти
主席,жу xи,чу  хси ,юу шыи,чжу си
祝福,жу фу,чу  фу ,юх фвоу,чжу фу
著名,жу минг,чу  минг ,юх минг,чжу мин
著作,жу зуо,чу  цо ,юх тзуох,чжу цзо
抓紧,жуа йин,чуа  чин ,юа йиин,чжуа цзинь
专心,жуан xин,чуан  хсин ,юан шин,чжуань синь
转动,жуан донг,чуан  тунг ,йоан донк,чжуань дун
转告,жуан гао,чуан  као ,йоан гаво,чжуань гао
转身,жуан шен,чуан  шен ,йоан шен,чжуань шэнь
转弯,жуан воан,чуан  воан ,йоан уан,чжуань вань
转移,жуан ыи,чуан  и ,йоан ыи,чжуань и
装修,жуанг xиу,чуанг  хсиу ,юанг шиоу,чжуан сю
装置,жуанг жи,чуанг  чих ,юанг йых,чжуан чжи
追求,жуи киу,чуи  чиу ,юеи чыоу,чжуй цю
准时,жун ши,чун  ших ,йоен шыр,чжунь ши
资料,зи лиао,тзу  лиао ,тзы лиаво,цзы ляо
资源,зи ыуан,тзу  ыуан ,тзы ыуан,цзы юань
自,зи,тзу ,тзых,цзы
自信,зи xин,тзу  хсин ,тзых шинн,цзы синь
字母,зи му,тзу  му ,тзых муу,цзы му
综合,зонг хе,цунг  хо ,тзонг хер,цзун хэ
总共,зонг гонг,цунг  кунг ,тзоонг гонк,цзун гун
总理,зонг ли,цунг  ли ,тзоонг лии,цзун ли
总统,зонг тонг,цунг  тунг ,тзоонг тоонг,цзун тун
总之,зонг жи,цунг  чих ,тзоонг йы,цзун чжи
阻止,зу жи,цу  чих ,тзуу йыы,цзу чжи
嘴巴,зуи ба,цуи  ба,тзоеи ба,цзуй ба
最初,зуи чу,цуи  чу ,тзуеы чу,цзуй чу
作出,зуо чу,цо  чу ,тзуох чу,цзо чу
作为,зуо воеи,цо  воеи ,тзуох воеи,цзо вэй
安慰,ан воеи,ан  воеи ,ан воеы,ань вэй
岸,ан,ан ,анн,ань
岸上,ан шанг,ан  шанг ,анн шанк,ань шан
按摩,ан мо,ан  мо ,анн мо,ань мо
拔,ба,па ,бар,ба
白酒,баи йиу,паи  чиу ,баир йеоу,бай цзю
拜访,баи фанг,паи  фанг ,баы фаанг,бай фан
版,бан,пан ,баан,бань
扮演,бан ыан,пан  ыан ,банн ыеан,бань янь
棒,банг,панг ,банк,бан
包围,бао воеи,пао  воеи ,бау воеи,бао вэй
